"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35037283860000""",Bishop,4,"United Energy & Exploration Llc",OK,Creek,,,,2008-10-01,0,1840,,Bishop
"=""35037283930000""",Creek,1,"Petrojen Production Company Inc",OK,Creek,,,,2008-11-01,0,39,,Creek
"=""35037283390000""",Sinclair,6,"United Energy & Exploration Llc",OK,Creek,,,,2008-10-01,0,2544,,Sinclair
"=""35037283470000""","Lost Indian",2,"Eig Petroleum Llc",OK,Creek,,,,2008-10-01,0,284,,"Lost Indian"
"=""35037283470000""","Lost Indian",2,"Eig Petroleum Llc",OK,Creek,,,,2008-07-01,0,84,,"Lost Indian"
"=""35037283470000""","Lost Indian",2,"Eig Petroleum Llc",OK,Creek,,,,2008-05-01,0,205,,"Lost Indian"
"=""35037284810000""","Deer Creek",1,"Flying M Petroleum Llc",OK,Creek,,,,2008-10-01,0,339,,"Deer Creek"
"=""35037284810000""","Deer Creek",1,"Flying M Petroleum Llc",OK,Creek,,,,2008-01-01,0,257,,"Deer Creek"
"=""35037284390000""",Sellers,1,"United Energy & Exploration Llc",OK,Creek,,,,2008-03-01,0,766,,Sellers
"=""35037276410000""",Dock,1-19,"B & P Oil & Gas",OK,Creek,,,,2008-12-01,0,383,,Dock
"=""35037255490000""",Woodford,30-1,"Tcina Inc",OK,Creek,,,,2008-11-01,0,188,,Woodford
"=""35037255490000""",Woodford,30-1,"Tcina Inc",OK,Creek,,,,2008-10-01,0,242,,Woodford
"=""35037255490000""",Woodford,30-1,"Tcina Inc",OK,Creek,,,,2008-07-01,0,320,,Woodford
"=""35037255490000""",Woodford,30-1,"Tcina Inc",OK,Creek,,,,2008-06-01,0,205,,Woodford
"=""35037255550000""","Sarty Fry",1-b,"Redland Resources Llc",OK,Creek,,,,2008-12-01,0,169,,"Sarty Fry"
